id,name,longitude,latitude,Score_Population_Density,Score_Footfall,Score_Transit,Score_Traffic,Score_Rent_Value,Score_Parking,Score_Night_Activity,Score_Walkability,Score_Safety,Score_POI_Synergy
3,Civil Lines,77.2219271,28.67964538,95,87.63241604,95,84,20.72446888,34.29884271,89.85037672,92.84446756,54.82289093,80.24138972
349,Ashok Vihar,77.175625,28.69125406,95,76.61301856,95,84,68.20118631,49.86034702,77.53994261,69.48749871,52.87861754,74.37965231
345,Krishna Nagar,77.28547093,28.65229466,95,79.59578491,90.55366618,84,56.01418845,70.93630074,69.74533883,81.26741119,48.06462843,58.5361323
18,Tis Hazari,77.21442846,28.66516348,95,87.2526132,95,84,26.18155734,41.2822297,86.18712729,85.96079912,57.44572545,79.28443052
171,Laxmi Bai Nagar,77.20635183,28.57737484,95,70.226178,93.41732783,84,65.00296386,35.82171667,85.57644435,92.7267545,45.56629116,79.77724245
101,Alaknanda,77.25010119,28.53502312,95,68.34898427,93.29852362,78,64.4734033,49.16153998,84.34335999,91.10150557,49.99734622,80.02741165
300,Azadpur,77.17535331,28.71470411,95,81.92405701,95,84,58.55305838,61.12814559,54.64059077,79.40316424,55.37313287,69.55171992
346,Lajpat Nagar,77.24352808,28.56861934,95,70.10194532,92.68595809,84,67.00534762,39.36850703,84.8333879,85.04615418,46.57074742,82.80274507
72,Jasola,77.28698582,28.54569585,95,65.09066411,95,78,69.62189743,59.94866317,83.62074693,85.27662733,48.03658769,79.45502755
20,Roop Nagar,77.20117129,28.68549346,95,85.30937161,95,84,25.59648683,55.94534269,78.88111755,76.70108138,58.66229571,77.83031327
21,Sarai Rohilla,77.19040513,28.66529573,95,87.70765872,95,84,20.09770847,49.85884427,87.78251443,81.50980648,59.17321784,81.62844478
22,Mukundpur,77.18408159,28.73957154,95,79.04201898,95,84,59.89691962,62.32564924,51.01502543,83.11837658,53.88325298,72.89292848
104,Panchsheel Park,77.21753411,28.54568233,95,67.01177174,88.78110053,84,65.73737447,47.59813209,89.05542207,91.61017267,48.96531831,75.07983021
375,Hauz Khas,77.19824929,28.55188798,95,61.67126487,87.59618854,84,60.98973874,63.19700022,87.16657909,82.71941105,54.6997879,73.0902364
120,Green Park,77.20372305,28.55816631,95,68.37794057,89.89509025,84,69.54118484,39.88241137,85.76934319,83.62387834,44.14982997,81.42830128
158,Gole Market,77.20440263,28.63476183,95,86.35163241,95,84,23.16156105,42.37508359,82.26551484,80.94772386,58.43440186,81.01397594
92,Okhla Industrial Area,77.27558198,28.53573921,95,60.51791894,95,78,62.30003412,58.86604215,82.52258735,86.25250289,45.42887992,82.16539822
56,Karawal Nagar,77.27178627,28.72745799,95,85.21828902,87.52364638,84,56.22444973,56.89153165,50.40751132,81.60629524,55.3122588,75.15303173
246,Karol Bagh,77.19210993,28.65115001,95,86.10674092,95,84,25.33602547,45.07631087,86.09891022,82.71547541,58.43320006,75.17940711
82,Andrews Ganj,77.22813557,28.56327085,95,68.95253855,91.44626761,84,66.14059782,35.62291798,88.85743406,91.22611779,48.50159458,80.05135137
66,South Extension,77.22164224,28.56908418,95,71.83201277,91.13209467,84,64.88061663,41.50201092,88.20489481,92.53237501,46.20434437,75.46185727
4,Wazirabad,77.22380106,28.7301211,95,80.88056835,95,84,60.88740335,61.86921734,53.84795094,73.08003242,55.48419451,67.60236598
288,Paharganj,77.21398008,28.64430058,95,85.48204412,95,84,26.33151376,40.79983787,88.9937802,80.12900967,55.81971535,82.53353589
379,Siri Fort,77.22059667,28.55017619,95,70.726711,89.31888265,84,63.09935695,50.60168183,85.27703116,90.31085736,47.62117284,76.23940249
70,Okhla,77.28693834,28.55960005,95,69.32576299,95,78,58.42682112,54.59800424,81.29710366,86.30959908,48.77555832,82.67890242
296,Mukherjee Nagar,77.20991489,28.70833754,95,87.94713585,95,84,24.1102847,55.96860228,75.2881686,71.77684862,56.44648863,80.08752261
85,Ina Colony,77.21396636,28.57635503,95,64.49844695,91.66038416,84,60.56558144,43.1397027,89.86817178,83.71518622,46.10731632,79.84510311
318,Mandi House,77.23472479,28.63080644,95,86.74371466,95,84,25.46697413,36.18336191,82.56806132,90.14488961,56.1293861,79.66552643
170,Rk Puram,77.17725675,28.56563771,95,66.24196201,89.7524547,84,62.3326987,47.3770093,82.88791575,88.32618855,52.65678882,72.58715321
161,Baba Kharak Singh Marg Area,77.20386503,28.62176228,95,86.8185239,95,84,21.48343201,38.4970323,89.50643855,83.0209962,59.78016192,76.12259615
